Model,phase,param,opt,min,max,model,pm
Boeing 767-300,DE,de_vs_avg_mach_const,-6.29,-13.2,-2.33,beta,2.75|1.91|-16.88|16.10
Boeing 767-300,DE,de_vs_avg_cas_const,-9.98,-14.99,-4.94,norm,-9.97|3.06
Boeing 767-300,DE,de_vs_avg_after_cas,-6.29,-7.99,-4.58,norm,-6.29|1.04
Boeing 767-300,FA,fa_va_avg,74,68,80,norm,74.38|4.27
Boeing 767-300,FA,fa_vs_avg,-3.76,-4.37,-2.75,gamma,15.83|-5.60|0.12
Boeing 767-300,FA,fa_agl,2.98,2.22,3.74,norm,2.98|0.46
Boeing 767-300,LD,ld_v_app,72.1,65.3,78.9,norm,72.10|4.70
Boeing 767-300,LD,ld_d_brk,1.51,0.66,3.71,beta,1.65|2.94|0.35|4.63
Boeing 767-300,LD,ld_acc_brk,-1.1,-1.94,-0.52,beta,4.70|3.14|-2.76|2.62
Boeing 787-8,TO,to_v_lof,90.3,74.4,106.3,norm,90.35|11.10
Boeing 787-8,TO,to_d_tof,2.16,1.08,3.25,norm,2.16|0.66
Boeing 787-8,TO,to_acc_tof,1.61,1.16,2.07,norm,1.61|0.28
Boeing 787-8,IC,ic_va_avg,87,78,97,beta,3.16|3.65|71.08|36.50
Boeing 787-8,IC,ic_vs_avg,10.65,6.27,14.45,beta,6.24|5.05|0.78|17.49
Boeing 787-8,CL,cl_d_range,286,146,427,norm,287.05|54.42
Boeing 787-8,CL,cl_v_cas_const,158,146,170,norm,158.68|7.34
Boeing 787-8,CL,cl_v_mach_const,0.85,0.81,0.87,beta,14.41|4.76|0.69|0.21
Boeing 787-8,CL,cl_h_cas_const,3.8,2.5,6.3,gamma,7.78|0.85|0.43
Boeing 787-8,CL,cl_h_mach_const,9.5,8.4,10.6,norm,9.52|0.68
Boeing 787-8,CL,cl_vs_avg_pre_cas,9.58,7.32,11.85,norm,9.58|1.38
Boeing 787-8,CL,cl_vs_avg_cas_const,9.02,6.12,11.93,norm,9.02|1.77
Boeing 787-8,CL,cl_vs_avg_mach_const,6.02,3.59,8.47,norm,6.03|1.48
Boeing 787-8,CR,cr_d_range,1874,269,11619,beta,1.14|1.87|206.46|12053.57
Boeing 787-8,CR,cr_v_cas_mean,132,126,146,gamma,6.84|119.57|2.28
Boeing 787-8,CR,cr_v_cas_max,139,130,164,gamma,4.29|122.70|5.16
Boeing 787-8,CR,cr_v_mach_mean,0.85,0.83,0.87,norm,0.85|0.01
Boeing 787-8,CR,cr_v_mach_max,0.87,0.85,0.91,gamma,16.44|0.80|0.00
Boeing 787-8,CR,cr_h_init,11.65,10.37,12.92,norm,11.65|0.78
Boeing 787-8,CR,cr_h_mean,12.01,11.16,12.85,norm,12.01|0.51
Boeing 787-8,CR,cr_h_max,12.28,11.52,13.06,norm,12.29|0.47
Boeing 787-8,DE,de_d_range,292,219,551,gamma,3.85|198.90|32.88
Boeing 787-8,DE,de_v_mach_const,0.84,0.8,0.87,norm,0.84|0.02
Boeing 787-8,DE,de_v_cas_const,153,140,167,norm,153.71|8.29
Boeing 787-8,DE,de_h_mach_const,10.5,8.8,11.7,beta,3.43|2.59|7.57|4.76
Boeing 787-8,DE,de_h_cas_const,7,4.4,9.7,norm,7.06|1.58
Boeing 787-8,DE,de_vs_avg_mach_const,-7.59,-14.16,-3.35,beta,3.41|2.37|-18.73|17.46
Boeing 787-8,DE,de_vs_avg_cas_const,-9.52,-13.91,-5.11,norm,-9.51|2.67
Boeing 787-8,DE,de_vs_avg_after_cas,-6.2,-7.94,-4.45,norm,-6.19|1.06
Boeing 787-8,FA,fa_va_avg,75,70,80,norm,75.58|3.36
Boeing 787-8,FA,fa_vs_avg,-3.99,-4.59,-3.11,gamma,24.44|-6.14|0.09
Boeing 787-8,FA,fa_agl,2.88,2.37,3.4,norm,2.88|0.31
Boeing 787-8,LD,ld_v_app,71.3,62,80.6,norm,71.29|6.48
Boeing 787-8,LD,ld_d_brk,2.08,0.45,3.71,norm,2.08|0.99
Boeing 787-8,LD,ld_acc_brk,-1.12,-1.79,-0.46,norm,-1.12|0.40
Boeing 787-9,TO,to_v_lof,96.1,81.1,111.2,norm,96.15|10.46
Boeing 787-9,TO,to_d_tof,2.49,1.31,3.69,norm,2.50|0.72
Boeing 787-9,TO,to_acc_tof,1.63,1.2,2.06,norm,1.63|0.26
Boeing 787-9,IC,ic_va_avg,92,81,103,beta,3.43|3.27|72.17|39.84
Boeing 787-9,IC,ic_vs_avg,10.6,6.48,14.74,norm,10.61|2.51
Boeing 787-9,CL,cl_d_range,263,173,420,beta,2.91|5.02|156.74|333.07
Boeing 787-9,CL,cl_v_cas_const,163,151,174,norm,163.14|7.01
Boeing 787-9,CL,cl_v_mach_const,0.84,0.82,0.87,norm,0.84|0.02
Boeing 787-9,CL,cl_h_cas_const,4.1,2.3,5.9,norm,4.10|1.07
Boeing 787-9,CL,cl_h_mach_const,9.1,8.1,10.2,norm,9.14|0.66
Boeing 787-9,CL,cl_vs_avg_pre_cas,9.46,7.18,11.75,norm,9.47|1.39
Boeing 787-9,CL,cl_vs_avg_cas_const,8.68,6.04,11.81,beta,3.89|4.77|3.94|10.92
Boeing 787-9,CL,cl_vs_avg_mach_const,6.05,3.63,8.47,norm,6.05|1.47
Boeing 787-9,CR,cr_d_range,5695,-3140,14555,norm,5707.50|3434.94
Boeing 787-9,CR,cr_v_cas_mean,139,129,149,norm,139.87|6.06
Boeing 787-9,CR,cr_v_cas_max,148,133,170,beta,2.67|4.04|125.61|63.39
Boeing 787-9,CR,cr_v_mach_mean,0.85,0.83,0.87,norm,0.85|0.01
Boeing 787-9,CR,cr_v_mach_max,0.87,0.85,0.92,gamma,6.01|0.83|0.01
Boeing 787-9,CR,cr_h_init,11.3,9.42,12.44,beta,4.59|2.75|7.61|5.49
Boeing 787-9,CR,cr_h_mean,11.58,10.72,12.44,norm,11.58|0.52
Boeing 787-9,CR,cr_h_max,11.99,11.28,12.7,norm,11.99|0.43
Boeing 787-9,DE,de_d_range,293,224,550,gamma,3.57|207.20|33.45
Boeing 787-9,DE,de_v_mach_const,0.84,0.79,0.87,beta,7.21|3.08|0.71|0.17
Boeing 787-9,DE,de_v_cas_const,154,139,169,norm,154.59|8.89
Boeing 787-9,DE,de_h_mach_const,10.5,8.6,11.6,beta,3.21|2.22|7.41|4.75
Boeing 787-9,DE,de_h_cas_const,7,4.3,9.6,norm,6.99|1.61
Boeing 787-9,DE,de_vs_avg_mach_const,-7.16,-12.88,-2.81,beta,2.83|2.31|-16.09|15.29
Boeing 787-9,DE,de_vs_avg_cas_const,-9.14,-13.41,-4.84,norm,-9.13|2.61
Boeing 787-9,DE,de_vs_avg_after_cas,-6.19,-7.91,-4.46,norm,-6.18|1.05
Boeing 787-9,FA,fa_va_avg,77,72,83,norm,77.88|3.71
Boeing 787-9,FA,fa_vs_avg,-4.15,-4.71,-3.15,gamma,11.92|-5.65|0.14
Boeing 787-9,FA,fa_agl,2.89,2.36,3.43,norm,2.89|0.32
Boeing 787-9,LD,ld_v_app,74,64.8,83.3,norm,74.07|6.42
Boeing 787-9,LD,ld_d_brk,2.49,0.68,4.31,norm,2.49|1.11
Boeing 787-9,LD,ld_acc_brk,-1.11,-1.74,-0.47,norm,-1.11|0.38
Embraer 190,TO,to_v_lof,88.1,78.7,97.5,norm,88.13|6.52
Embraer 190,TO,to_d_tof,1.8,1.19,2.42,norm,1.81|0.38
Embraer 190,TO,to_acc_tof,1.83,1.38,2.28,norm,1.83|0.27
Embraer 190,IC,ic_va_avg,78,66,91,norm,78.72|8.77
Embraer 190,IC,ic_vs_avg,11.19,5.78,16.62,norm,11.20|3.30
Embraer 190,CL,cl_d_range,215,162,389,gamma,4.36|144.99|21.11
Embraer 190,CL,cl_v_cas_const,140,133,156,gamma,8.78|122.65|2.36
Embraer 190,CL,cl_v_mach_const,0.75,0.71,0.8,norm,0.75|0.03
Embraer 190,CL,cl_h_cas_const,3,1.8,6.5,gamma,4.03|0.82|0.73
Embraer 190,CL,cl_h_mach_const,9.2,8.1,10.2,norm,9.19|0.63
Embraer 190,CL,cl_vs_avg_pre_cas,10.44,7.18,13.71,norm,10.44|1.98
Embraer 190,CL,cl_vs_avg_cas_const,8.93,6.27,11.6,norm,8.93|1.62
Embraer 190,CL,cl_vs_avg_mach_const,4.82,2.95,6.7,norm,4.82|1.14
Embraer 190,CR,cr_d_range,734,464,2710,gamma,1.98|433.55|308.41
Embraer 190,CR,cr_v_cas_mean,131,120,141,norm,131.14|6.25
Embraer 190,CR,cr_v_cas_max,137,124,150,norm,137.30|7.93
Embraer 190,CR,cr_v_mach_mean,0.77,0.74,0.81,norm,0.77|0.02
Embraer 190,CR,cr_v_mach_max,0.79,0.76,0.85,gamma,17.56|0.68|0.01
Embraer 190,CR,cr_h_init,10.99,9.99,12,norm,11.00|0.61
Embraer 190,CR,cr_h_mean,11.05,10.05,12.05,norm,11.05|0.61
Embraer 190,CR,cr_h_max,11.16,10.21,12.13,norm,11.17|0.58
Embraer 190,DE,de_d_range,253,171,425,beta,2.17|3.85|161.90|315.91
Embraer 190,DE,de_v_mach_const,0.77,0.72,0.81,norm,0.77|0.03
Embraer 190,DE,de_v_cas_const,148,134,159,beta,3.94|3.27|124.00|42.94
Embraer 190,DE,de_h_mach_const,9.3,8,10.6,norm,9.29|0.78
Embraer 190,DE,de_h_cas_const,5.4,2.6,8.2,norm,5.42|1.72
Embraer 190,DE,de_vs_avg_mach_const,-5.25,-11.79,-2.1,beta,4.50|2.29|-18.06|17.51
Embraer 190,DE,de_vs_avg_cas_const,-9.08,-13.29,-4.85,norm,-9.07|2.56
Embraer 190,DE,de_vs_avg_after_cas,-5.9,-7.92,-3.88,norm,-5.90|1.23
Embraer 190,FA,fa_va_avg,70,64,76,norm,70.46|4.17
Embraer 190,FA,fa_vs_avg,-3.57,-4.34,-2.81,norm,-3.57|0.47
Embraer 190,FA,fa_agl,2.92,2.38,3.46,norm,2.92|0.33
Embraer 190,LD,ld_v_app,66.9,56.6,77.2,norm,66.90|7.16
Embraer 190,LD,ld_d_brk,2.1,0.7,3.52,norm,2.11|0.86
Embraer 190,LD,ld_acc_brk,-1.08,-1.8,-0.36,norm,-1.08|0.44
